angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.27,,"[602, 234, 187, 246]",,0.0,,0.15,,0.01,,0.07,,0.45,,0.05,
0.22,,"[603, 243, 178, 224]",,0.04,,0.17,,0.01,,0.03,,0.5,,0.03,
0.17,,"[597, 257, 162, 203]",,0.01,,0.27,,0.03,,0.01,,0.48,,0.02,
0.11,,"[456, 226, 190, 238]",,0.0,,0.05,,0.03,,0.12,,0.69,,0.0,
0.25,,"[464, 235, 184, 219]",,0.01,,0.12,,0.09,,0.03,,0.5,,0.0,
0.24,,"[465, 235, 182, 219]",,0.0,,0.12,,0.1,,0.03,,0.49,,0.0,
0.45,,"[475, 238, 183, 223]",,0.13,,0.05,,0.03,,0.01,,0.33,,0.0,
0.38,,"[498, 247, 186, 227]",,0.02,,0.07,,0.11,,0.03,,0.38,,0.0,
0.32,,"[521, 260, 180, 216]",,0.01,,0.09,,0.13,,0.03,,0.42,,0.0,
0.53,,"[537, 264, 180, 221]",,0.06,,0.06,,0.12,,0.01,,0.23,,0.0,
0.08,,"[519, 155, 171, 218]",,0.0,,0.09,,0.36,,0.07,,0.39,,0.01,
0.08,,"[519, 155, 171, 218]",,0.0,,0.09,,0.35,,0.07,,0.4,,0.01,
0.11,,"[509, 138, 177, 227]",,0.0,,0.08,,0.42,,0.04,,0.32,,0.03,
0.13,,"[505, 115, 183, 238]",,0.0,,0.28,,0.09,,0.04,,0.36,,0.1,
0.21,,"[482, 93, 192, 255]",,0.0,,0.22,,0.01,,0.01,,0.3,,0.26,
0.59,,"[477, 62, 193, 260]",,0.0,,0.17,,0.0,,0.01,,0.1,,0.13,
0.6,,"[477, 62, 193, 260]",,0.0,,0.17,,0.0,,0.01,,0.1,,0.12,
0.82,,"[461, 50, 205, 268]",,0.01,,0.05,,0.0,,0.03,,0.07,,0.03,
0.77,,"[470, 61, 185, 252]",,0.0,,0.07,,0.0,,0.01,,0.13,,0.02,
0.74,,"[480, 60, 197, 258]",,0.0,,0.02,,0.0,,0.12,,0.11,,0.01,
0.62,,"[481, 59, 198, 263]",,0.0,,0.01,,0.01,,0.31,,0.04,,0.01,
0.68,,"[482, 59, 198, 263]",,0.0,,0.01,,0.01,,0.23,,0.05,,0.01,
0.65,,"[482, 59, 199, 267]",,0.0,,0.02,,0.03,,0.2,,0.08,,0.01,
0.65,,"[482, 60, 197, 254]",,0.0,,0.01,,0.02,,0.28,,0.04,,0.0,
0.77,,"[500, 66, 196, 251]",,0.0,,0.01,,0.04,,0.1,,0.06,,0.01,
0.8,,"[514, 80, 194, 252]",,0.0,,0.02,,0.04,,0.09,,0.04,,0.01,
0.81,,"[514, 80, 194, 252]",,0.0,,0.02,,0.04,,0.08,,0.04,,0.01,
0.94,,"[522, 89, 200, 254]",,0.0,,0.01,,0.01,,0.01,,0.02,,0.0,
0.91,,"[542, 94, 190, 254]",,0.0,,0.02,,0.02,,0.01,,0.03,,0.01,
0.92,,"[532, 85, 203, 271]",,0.0,,0.02,,0.01,,0.02,,0.02,,0.01,
0.78,,"[558, 105, 195, 259]",,0.0,,0.02,,0.14,,0.03,,0.02,,0.01,
0.82,,"[558, 104, 195, 261]",,0.0,,0.02,,0.1,,0.03,,0.02,,0.01,
0.79,,"[581, 121, 198, 254]",,0.0,,0.02,,0.04,,0.08,,0.07,,0.0,
0.67,,"[589, 133, 195, 255]",,0.0,,0.04,,0.04,,0.1,,0.14,,0.01,
