,box,angry,disgust,fear,happy,sad,surprise,neutral
72,"[519, 155, 171, 218]",0.08,0.0,0.09,0.36,0.39,0.01,0.07
73,"[519, 155, 171, 218]",0.08,0.0,0.09,0.35,0.4,0.01,0.07
74,"[509, 138, 177, 227]",0.11,0.0,0.08,0.42,0.32,0.03,0.04
75,"[505, 115, 183, 238]",0.13,0.0,0.28,0.09,0.36,0.1,0.04
76,"[482, 93, 192, 255]",0.21,0.0,0.22,0.01,0.3,0.26,0.01
77,"[477, 62, 193, 260]",0.59,0.0,0.17,0.0,0.1,0.13,0.01
78,"[477, 62, 193, 260]",0.6,0.0,0.17,0.0,0.1,0.12,0.01
79,"[461, 50, 205, 268]",0.82,0.01,0.05,0.0,0.07,0.03,0.03
80,"[470, 61, 185, 252]",0.77,0.0,0.07,0.0,0.13,0.02,0.01
81,"[480, 60, 197, 258]",0.74,0.0,0.02,0.0,0.11,0.01,0.12
82,"[481, 59, 198, 263]",0.62,0.0,0.01,0.01,0.04,0.01,0.31
83,"[482, 59, 198, 263]",0.68,0.0,0.01,0.01,0.05,0.01,0.23
84,"[482, 59, 199, 267]",0.65,0.0,0.02,0.03,0.08,0.01,0.2
85,"[482, 60, 197, 254]",0.65,0.0,0.01,0.02,0.04,0.0,0.28
86,"[500, 66, 196, 251]",0.77,0.0,0.01,0.04,0.06,0.01,0.1
87,"[514, 80, 194, 252]",0.8,0.0,0.02,0.04,0.04,0.01,0.09
88,"[514, 80, 194, 252]",0.81,0.0,0.02,0.04,0.04,0.01,0.08
89,"[522, 89, 200, 254]",0.94,0.0,0.01,0.01,0.02,0.0,0.01
90,"[542, 94, 190, 254]",0.91,0.0,0.02,0.02,0.03,0.01,0.01
91,"[532, 85, 203, 271]",0.92,0.0,0.02,0.01,0.02,0.01,0.02
92,"[558, 105, 195, 259]",0.78,0.0,0.02,0.14,0.02,0.01,0.03
93,"[558, 104, 195, 261]",0.82,0.0,0.02,0.1,0.02,0.01,0.03
94,"[581, 121, 198, 254]",0.79,0.0,0.02,0.04,0.07,0.0,0.08
95,"[589, 133, 195, 255]",0.67,0.0,0.04,0.04,0.14,0.01,0.1
96,"[587, 146, 199, 256]",0.51,0.0,0.03,0.08,0.12,0.0,0.26
97,"[563, 320, 215, 257]",0.17,0.0,0.04,0.3,0.33,0.01,0.16
98,"[563, 320, 215, 257]",0.16,0.0,0.03,0.32,0.33,0.01,0.15
99,"[597, 261, 197, 235]",0.16,0.0,0.06,0.46,0.2,0.01,0.12
100,"[580, 250, 195, 240]",0.38,0.0,0.13,0.17,0.19,0.01,0.13
101,"[586, 256, 179, 219]",0.49,0.0,0.18,0.04,0.27,0.0,0.03
102,"[574, 228, 191, 235]",0.6,0.0,0.17,0.04,0.14,0.01,0.05
103,"[574, 228, 191, 235]",0.6,0.0,0.17,0.04,0.14,0.0,0.05
104,"[574, 215, 196, 246]",0.44,0.0,0.11,0.15,0.17,0.0,0.13
105,"[570, 204, 204, 253]",0.49,0.0,0.09,0.08,0.18,0.01,0.16
106,"[579, 211, 197, 244]",0.59,0.0,0.07,0.13,0.17,0.0,0.04
107,"[602, 209, 189, 234]",0.12,0.0,0.04,0.26,0.18,0.0,0.39
