,Datetime,Tweet Id,Text,Username,likeCount,retweetCount,replyCount,quoteCount
23,2023-03-09 19:31:38+00:00,1633913453189505024,"J Krishnamurti - What is freedom?

https://t.co/2LXGsi5FMh

#Quotes #Zen #Mindfulness #Mindset #Mind #Psychology #Yoga #Meditation #Mystic #Transformation #Selfhelp #Growth #Alpha #Spirituality #Consciousness #Awareness #Void #Mushin #Satori #Silence #Presentmoment https://t.co/fGiVt44HJe",NoMindTouchThe1,1,1,0,0
24,2023-03-09 19:28:30+00:00,1633912664391811075,"The GeoCat 1.3, a simple tool for the measurement of Freudian primary and secondary process thinking https://t.co/wV0ujvOLRc

A very clever integration of #cognitive #psychology, #gestalt #perception, and #psychoanalysis can be found in the field of #neuropsychoanalysis. 👀👇 https://t.co/Wdel7n2Wem",DrWinarick,0,0,1,0
25,2023-03-09 19:27:00+00:00,1633912285738434560,"Love being part of this ecosystem. Check out a great interview on @CNBC  with Dr. Judson Brewer. #behaviorialpsychology #psychology #mentalhealth 

https://t.co/rEU7s9ojoq",ciaraungar,0,0,0,0
26,2023-03-09 19:22:49+00:00,1633911235564691456,#aphantasia #visualimagery #research #academicchatter #psychology #aphantasianetwork,Soop_Poop,0,0,0,0
27,2023-03-09 19:22:08+00:00,1633911062780157953,"Need urgent help with your assignments due?
#Anatomy
#Psychology
#Homeworkdue
#Biology
#Microbiology
#Immunology
#Hematology.
#Physiology
#Literature
#essaypay
#Maths
#finals.
#Chemistry
#History
#Economics
#javascript.
#Calculus.
#Essay.
#Thesis
DM.+447458930687.",homeworkstephay,0,0,0,0
28,2023-03-09 19:21:27+00:00,1633910890071306245,"Psychological facts about human behavior &amp; Being nice to someone  | Awes... https://t.co/WDWQX2DXep via @YouTube #psychologyfacts 
#psychologicalfacts #psychology",zubu21,0,0,0,0
29,2023-03-09 19:12:33+00:00,1633908650610704403,"I studied some #psychology to justify my procrastination, laziness and no willingness to study.
😎",amnadilawar_,0,0,0,0
30,2023-03-09 19:07:11+00:00,1633907299017170944,"""Rise Above"" is a powerful video that inspires us to overcome challenges, push beyond limitations, and strive for greatness. #Action #Love #Self-improvement #PersonalGrowth #Psychology 
#Relationship #Focus #Productivity #GTD
https://t.co/dSgCwNbgsA https://t.co/lFZF7I9TuG",ThomByxbe,0,0,0,0
31,2023-03-09 19:04:20+00:00,1633906582890135554,"Today we're shining a spotlight on @anneliesesingh, an 2SLGBTQIA+ advocate in psychology and an alumna of Georgia State University! #WomensHistoryMonth #MentalHealthAwareness #psychology https://t.co/7W4Y7VYfHL",GSUARTLab,4,1,1,0
32,2023-03-09 19:01:25+00:00,1633905849071484957,"Este es un gran punto de partida 🤟

¿Se te ocurre algún consejo más para todas las personas que no saben cómo conseguirlo? 

#psychology #web3community #events

¿Qué opinan mis compañeros del sector? @maryanarcoach @MentalFriendsSM @adriisaanchez_",Alex_LUNARxy,2,1,2,0
33,2023-03-09 19:01:08+00:00,1633905777034264576,"Οι 7 πιο σημαντικές επιπτώσεις της αϋπνίας στην ψυχική υγεία.
#psychologynowgr #psychology 
https://t.co/n21oeCeRTB",Psychologynowgr,0,0,0,0
34,2023-03-09 18:59:13+00:00,1633905293384925212,"#Psychology on this day! 1973, first biochemical identification of opiate receptors in the brain. Revolutionary to understanding #pain, #mentalhealth! #clinicalpsychology #therapy #counseling #substanceuse #addictions #opioids https://t.co/n2zAH0qt8v",pacific_well,0,0,0,0
35,2023-03-09 18:55:27+00:00,1633904347217051666,"Tales From Behind The Sleigh….
#SantaShane #ShaneFlannigan #GoodTidings #Psychology #GreatNews #GiftGiver #Legend #SantaClaus  https://t.co/dbG1zyy6z3",polecoach1,0,0,0,0
36,2023-03-09 18:52:35+00:00,1633903626258366464,New Research: Global trends in depression among patients living with HIV: A bibliometric analysis https://t.co/g3cm6IlRhR #Psychology #Psych,FrontPsychol,0,0,0,0
37,2023-03-09 18:50:50+00:00,1633903185692639238,"""Nowadays Initiation is linked to Humiliation"" - Rick Cooper 

You can find the Full Episode in the link in my bio or by searching 'Extrospective' on all major streaming services.

#podcast #psychology #psychologypodcast #zaksnell #extrospectivepod #studentpodcast https://t.co/WmnjfMQl6q",zaksnell_,1,0,0,0
38,2023-03-09 18:48:48+00:00,1633902673442291743,"Dr. Gabor Maté, well known for his work in childhood development, stress and trauma is interviewed by Francisco Mazza, director of development at Krishnamurti Center in Ojai, California. Francisco is joined by Jaap… https://t.co/eYONzwJTJi #psychology",PsychologyBot24,0,0,0,0
39,2023-03-09 18:46:29+00:00,1633902090153017347,"System 1 constructed a story, and his System 2 believed it. It happens to all of us.

By Daniel Kahneman
#priorities #psychology

https://t.co/CggfuORTzj",BBookQuotes10,0,0,0,0
40,2023-03-09 18:45:03+00:00,1633901728075530246,"words abt thoughts abt the world:

https://t.co/7RtwVWAvZf

#art #psychology #create",MxEwAnT,0,0,0,0
41,2023-03-09 18:43:32+00:00,1633901348700790784,"Science is Popular by Association. 

#motivationalquotes #instagood #inspiration  #imagination #spirituality #life #love #death  #psychology #ADOPTION #Old #Respect #Science #artist #God #africa #Asia #europe #america https://t.co/hZjFnGImxq",DrAgeQuotes,1,0,0,0
42,2023-03-09 18:43:05+00:00,1633901234976624646,"Not the real, but the dream
Not the moment, but the memory
Not the lie, but the truth 
Not the life, but the death- 
I am scared of  

'Everyone has a story' 
#poetry #psychology
#psychologicalpoetry",oxstellar,0,0,0,0
43,2023-03-09 18:38:09+00:00,1633899993340755976,The Postitive Psychology Art Class focused on gratitude today. We spoke about what impact gratitude has on ourselves and others and how we can practice being grateful. What are you grateful for...? #positiveart #psychology #gratitude #mandalas https://t.co/btlKHMShRp,mount_unit,1,1,0,0
44,2023-03-09 18:30:37+00:00,1633898097062363139,...https://t.co/vegSsamkWO #SelfCare #Psychology #Anxiety #MentalHealth #Therapy,Psychology101__,0,0,0,0
45,2023-03-09 18:30:18+00:00,1633898018243002377,"O RRY? #LOL #CognitiveDissonance
#CognitiveProcess #Psychology #Neurology #Cognitive #Science #Jokes #Lolz 
#Life #StrangerThings than #Art sometimes! #Ironic #FactsMatter
#FactsAndLogic #Affluenza  https://t.co/NrJdfquCyC",Horseshoe_Party,0,0,0,0
46,2023-03-09 18:30:00+00:00,1633897943278206998,"Small, Smart Choices + Consistency + Time = Radical difference

- The Compound Effect

#personalfinance #psychology #mindset #investment #investing #money",shreeranginvest,0,0,0,0
47,2023-03-09 18:29:56+00:00,1633897926438076430,"Trabajar la autoestima de la mujer en el siglo XXI https://t.co/liUJpHVlsz

#elevart #psychology #art #psicología #arte #arteterapia #arttherapy #artthérapie #terapia #barcelona #barcelone",elevartbcn,1,0,0,1
48,2023-03-09 18:28:28+00:00,1633897556307484672,"Scary Psychological Facts About Girl, Love &amp; Human Behavior | Human Psyc... https://t.co/FhmLkdVZ40 via @YouTube #psychologyfacts 
#psychologicalfacts #psychology",zubu21,0,0,0,0
49,2023-03-09 18:27:01+00:00,1633897192925610011,"Your Brain's Goal is to Protect You.

The doubts, fears, and excuses are all by-products of your brain trying to keep you ""safe.""

The best way to deal with it is to put more positive thoughts in, understand it's a defense mechanism, and then just go. 

#psychology #success #fyp",RyanJespersenMD,1,0,0,0
50,2023-03-09 18:25:00+00:00,1633896682319654913,#Autistic #autism #autismacceptance #actuallyautistic #Neurodiversity #adhd #mentalhealth #psychology https://t.co/Nmg9OZ8wvt,awakeprojectorg,0,0,0,0
51,2023-03-09 18:20:51+00:00,1633895639674175507,"What are your favorite reads on/applicable to #market #psychology?  📚🧠📉📈

aaaaand GO!",ohdehlaye,0,1,0,0
52,2023-03-09 18:15:12+00:00,1633894220002996224,"Benefits of microdose it
improved focus, concentration,
reduced, anxiety,
reduced stress #MentalHealth #mentalhealthmatters #mentalhealthawareness #mentalwellness #microdosing  #PsychedelicAssistedTherapy #emotionalhealth #emotionalwellbeing #psychology #trauma #traumainformed https://t.co/667rXbUMT4",psy_cho_therapy,0,0,0,0
